Date,AppName,Cost
2025-09-12,AuthAPI,6193
2025-09-13,AuthAPI,6685
2025-09-14,AuthAPI,5968
2025-09-15,AuthAPI,6281
2025-09-16,AuthAPI,6127
2025-09-17,AuthAPI,6343
2025-09-18,AuthAPI,6049
2025-09-19,AuthAPI,6714
2025-09-20,AuthAPI,6276
2025-09-21,AuthAPI,6316
2025-09-22,AuthAPI,6298
2025-09-23,AuthAPI,6420
2025-09-24,AuthAPI,6606
2025-09-25,AuthAPI,6644
2025-09-26,AuthAPI,6736
2025-09-27,AuthAPI,6714
2025-09-28,AuthAPI,6276
2025-09-29,AuthAPI,6761
2025-09-30,AuthAPI,6050
2025-10-01,AuthAPI,6279
2025-10-02,AuthAPI,6047
2025-10-03,AuthAPI,6058
2025-10-04,AuthAPI,6415
2025-10-05,AuthAPI,6470
2025-10-06,AuthAPI,6377
2025-10-07,AuthAPI,6646
2025-10-08,AuthAPI,6424
2025-10-09,AuthAPI,5952
2025-10-10,AuthAPI,6035
2025-10-11,AuthAPI,6074
2025-10-12,AuthAPI,6018
2025-10-13,AuthAPI,6637
2025-10-14,AuthAPI,6322
2025-10-15,AuthAPI,6931
2025-10-16,AuthAPI,6729
2025-10-17,AuthAPI,6807
2025-10-18,AuthAPI,6929
2025-10-19,AuthAPI,6368
2025-10-20,AuthAPI,6022
2025-10-21,AuthAPI,6928
2025-10-22,AuthAPI,6064
2025-10-23,AuthAPI,5997
2025-10-24,AuthAPI,6303
2025-10-25,AuthAPI,6892
2025-10-26,AuthAPI,6160
2025-10-27,AuthAPI,6504
2025-10-28,AuthAPI,6593
2025-10-29,AuthAPI,6280
2025-10-30,AuthAPI,6079
2025-10-31,AuthAPI,6509
2025-11-01,AuthAPI,6889
2025-11-02,AuthAPI,6657
2025-11-03,AuthAPI,6463
2025-11-04,AuthAPI,6265
2025-11-05,AuthAPI,6708
2025-11-06,AuthAPI,6769
2025-11-07,AuthAPI,6640
2025-11-08,AuthAPI,6908
2025-11-09,AuthAPI,6823
2025-11-10,AuthAPI,6316
2025-09-12,AnalyticsService,8142
2025-09-13,AnalyticsService,7937
2025-09-14,AnalyticsService,8604
2025-09-15,AnalyticsService,7993
2025-09-16,AnalyticsService,8133
2025-09-17,AnalyticsService,8629
2025-09-18,AnalyticsService,8586
2025-09-19,AnalyticsService,8707
2025-09-20,AnalyticsService,8023
2025-09-21,AnalyticsService,7813
2025-09-22,AnalyticsService,8216
2025-09-23,AnalyticsService,8116
2025-09-24,AnalyticsService,8506
2025-09-25,AnalyticsService,8405
2025-09-26,AnalyticsService,8061
2025-09-27,AnalyticsService,8099
2025-09-28,AnalyticsService,8126
2025-09-29,AnalyticsService,7750
2025-09-30,AnalyticsService,8330
2025-10-01,AnalyticsService,8217
2025-10-02,AnalyticsService,8160
2025-10-03,AnalyticsService,8262
2025-10-04,AnalyticsService,8091
2025-10-05,AnalyticsService,8350
2025-10-06,AnalyticsService,8522
2025-10-07,AnalyticsService,8119
2025-10-08,AnalyticsService,7939
2025-10-09,AnalyticsService,8360
2025-10-10,AnalyticsService,8587
2025-10-11,AnalyticsService,8306
2025-10-12,AnalyticsService,8689
2025-10-13,AnalyticsService,8166
2025-10-14,AnalyticsService,8374
2025-10-15,AnalyticsService,7778
2025-10-16,AnalyticsService,8285
2025-10-17,AnalyticsService,8355
2025-10-18,AnalyticsService,8339
2025-10-19,AnalyticsService,8411
2025-10-20,AnalyticsService,7755
2025-10-21,AnalyticsService,8291
2025-10-22,AnalyticsService,8117
2025-10-23,AnalyticsService,7955
2025-10-24,AnalyticsService,7788
2025-10-25,AnalyticsService,7781
2025-10-26,AnalyticsService,8467
2025-10-27,AnalyticsService,8301
2025-10-28,AnalyticsService,8225
2025-10-29,AnalyticsService,8235
2025-10-30,AnalyticsService,8221
2025-10-31,AnalyticsService,8404
2025-11-01,AnalyticsService,8414
2025-11-02,AnalyticsService,8044
2025-11-03,AnalyticsService,7978
2025-11-04,AnalyticsService,8133
2025-11-05,AnalyticsService,8305
2025-11-06,AnalyticsService,8410
2025-11-07,AnalyticsService,8397
2025-11-08,AnalyticsService,7951
2025-11-09,AnalyticsService,8663
2025-11-10,AnalyticsService,8683
2025-09-12,DatabaseCluster,8947
2025-09-13,DatabaseCluster,8045
2025-09-14,DatabaseCluster,8921
2025-09-15,DatabaseCluster,8794
2025-09-16,DatabaseCluster,8083
2025-09-17,DatabaseCluster,8666
2025-09-18,DatabaseCluster,8988
2025-09-19,DatabaseCluster,8555
2025-09-20,DatabaseCluster,8316
2025-09-21,DatabaseCluster,8716
2025-09-22,DatabaseCluster,8000
2025-09-23,DatabaseCluster,8530
2025-09-24,DatabaseCluster,8260
2025-09-25,DatabaseCluster,8513
2025-09-26,DatabaseCluster,8375
2025-09-27,DatabaseCluster,8990
2025-09-28,DatabaseCluster,8203
2025-09-29,DatabaseCluster,8310
2025-09-30,DatabaseCluster,8654
2025-10-01,DatabaseCluster,8855
2025-10-02,DatabaseCluster,8522
2025-10-03,DatabaseCluster,8132
2025-10-04,DatabaseCluster,8365
2025-10-05,DatabaseCluster,8093
2025-10-06,DatabaseCluster,8239
2025-10-07,DatabaseCluster,8678
2025-10-08,DatabaseCluster,8675
2025-10-09,DatabaseCluster,8898
2025-10-10,DatabaseCluster,8382
2025-10-11,DatabaseCluster,8114
2025-10-12,DatabaseCluster,8305
2025-10-13,DatabaseCluster,8419
2025-10-14,DatabaseCluster,8193
2025-10-15,DatabaseCluster,8070
2025-10-16,DatabaseCluster,8676
2025-10-17,DatabaseCluster,8553
2025-10-18,DatabaseCluster,8086
2025-10-19,DatabaseCluster,8841
2025-10-20,DatabaseCluster,8891
2025-10-21,DatabaseCluster,8545
2025-10-22,DatabaseCluster,8002
2025-10-23,DatabaseCluster,8001
2025-10-24,DatabaseCluster,8632
2025-10-25,DatabaseCluster,8913
2025-10-26,DatabaseCluster,8266
2025-10-27,DatabaseCluster,8905
2025-10-28,DatabaseCluster,8387
2025-10-29,DatabaseCluster,8005
2025-10-30,DatabaseCluster,8619
2025-10-31,DatabaseCluster,8657
2025-11-01,DatabaseCluster,8539
2025-11-02,DatabaseCluster,8891
2025-11-03,DatabaseCluster,8155
2025-11-04,DatabaseCluster,8698
2025-11-05,DatabaseCluster,8706
2025-11-06,DatabaseCluster,8386
2025-11-07,DatabaseCluster,8352
2025-11-08,DatabaseCluster,8373
2025-11-09,DatabaseCluster,8426
2025-11-10,DatabaseCluster,8197
2025-09-12,FrontendApp,2815
2025-09-13,FrontendApp,3302
2025-09-14,FrontendApp,2746
2025-09-15,FrontendApp,2986
2025-09-16,FrontendApp,3297
2025-09-17,FrontendApp,3184
2025-09-18,FrontendApp,2807
2025-09-19,FrontendApp,3095
2025-09-20,FrontendApp,3062
2025-09-21,FrontendApp,2791
2025-09-22,FrontendApp,2879
2025-09-23,FrontendApp,3521
2025-09-24,FrontendApp,3410
2025-09-25,FrontendApp,2987
2025-09-26,FrontendApp,3562
2025-09-27,FrontendApp,3392
2025-09-28,FrontendApp,3340
2025-09-29,FrontendApp,3203
2025-09-30,FrontendApp,3251
2025-10-01,FrontendApp,2804
2025-10-02,FrontendApp,3347
2025-10-03,FrontendApp,3293
2025-10-04,FrontendApp,2683
2025-10-05,FrontendApp,2705
2025-10-06,FrontendApp,3134
