Date,AppName,Cost
2025-09-12,AuthAPI,8084
2025-09-13,AuthAPI,7740
2025-09-14,AuthAPI,8194
2025-09-15,AuthAPI,8262
2025-09-16,AuthAPI,8317
2025-09-17,AuthAPI,8109
2025-09-18,AuthAPI,8307
2025-09-19,AuthAPI,7860
2025-09-20,AuthAPI,7891
2025-09-21,AuthAPI,7985
2025-09-22,AuthAPI,14724
2025-09-23,AuthAPI,8216
2025-09-24,AuthAPI,8062
2025-09-25,AuthAPI,8316
2025-09-26,AuthAPI,7799
2025-09-27,AuthAPI,7820
2025-09-28,AuthAPI,7971
2025-09-29,AuthAPI,14209
2025-09-30,AuthAPI,8290
2025-10-01,AuthAPI,7765
2025-10-02,AuthAPI,7992
2025-10-03,AuthAPI,8092
2025-10-04,AuthAPI,8253
2025-10-05,AuthAPI,8155
2025-10-06,AuthAPI,2486
2025-10-07,AuthAPI,8026
2025-10-08,AuthAPI,7992
2025-10-09,AuthAPI,8025
2025-10-10,AuthAPI,8257
2025-10-11,AuthAPI,2345
2025-10-12,AuthAPI,7799
2025-10-13,AuthAPI,7726
2025-10-14,AuthAPI,7802
2025-10-15,AuthAPI,14833
2025-10-16,AuthAPI,7975
2025-10-17,AuthAPI,8236
2025-10-18,AuthAPI,2480
2025-10-19,AuthAPI,8117
2025-10-20,AuthAPI,8144
2025-10-21,AuthAPI,8088
2025-10-22,AuthAPI,7989
2025-10-23,AuthAPI,7853
2025-10-24,AuthAPI,7816
2025-10-25,AuthAPI,8300
2025-10-26,AuthAPI,7986
2025-10-27,AuthAPI,7944
2025-10-28,AuthAPI,7910
2025-10-29,AuthAPI,7753
2025-10-30,AuthAPI,13953
2025-10-31,AuthAPI,8011
2025-11-01,AuthAPI,7846
2025-11-02,AuthAPI,8096
2025-11-03,AuthAPI,8139
2025-11-04,AuthAPI,7966
2025-11-05,AuthAPI,8163
2025-11-06,AuthAPI,7756
2025-11-07,AuthAPI,8290
2025-11-08,AuthAPI,7892
2025-11-09,AuthAPI,8248
2025-11-10,AuthAPI,7773
2025-09-12,AnalyticsService,5901
2025-09-13,AnalyticsService,5624
2025-09-14,AnalyticsService,5816
2025-09-15,AnalyticsService,5644
2025-09-16,AnalyticsService,5719
2025-09-17,AnalyticsService,5697
2025-09-18,AnalyticsService,5920
2025-09-19,AnalyticsService,5754
2025-09-20,AnalyticsService,5410
2025-09-21,AnalyticsService,5600
2025-09-22,AnalyticsService,5932
2025-09-23,AnalyticsService,5544
2025-09-24,AnalyticsService,5469
2025-09-25,AnalyticsService,5876
2025-09-26,AnalyticsService,5358
2025-09-27,AnalyticsService,5851
2025-09-28,AnalyticsService,5580
2025-09-29,AnalyticsService,5792
2025-09-30,AnalyticsService,5475
2025-10-01,AnalyticsService,5357
2025-10-02,AnalyticsService,5371
2025-10-03,AnalyticsService,5372
2025-10-04,AnalyticsService,5761
2025-10-05,AnalyticsService,5569
2025-10-06,AnalyticsService,5638
2025-10-07,AnalyticsService,5610
2025-10-08,AnalyticsService,5626
2025-10-09,AnalyticsService,5788
2025-10-10,AnalyticsService,9669
2025-10-11,AnalyticsService,5645
2025-10-12,AnalyticsService,5738
2025-10-13,AnalyticsService,5569
2025-10-14,AnalyticsService,5606
2025-10-15,AnalyticsService,10049
2025-10-16,AnalyticsService,5390
2025-10-17,AnalyticsService,5459
2025-10-18,AnalyticsService,5441
2025-10-19,AnalyticsService,5533
2025-10-20,AnalyticsService,5870
2025-10-21,AnalyticsService,5692
2025-10-22,AnalyticsService,5853
2025-10-23,AnalyticsService,1670
2025-10-24,AnalyticsService,5456
2025-10-25,AnalyticsService,5669
2025-10-26,AnalyticsService,5909
2025-10-27,AnalyticsService,1667
2025-10-28,AnalyticsService,1647
2025-10-29,AnalyticsService,5338
2025-10-30,AnalyticsService,5453
2025-10-31,AnalyticsService,5885
2025-11-01,AnalyticsService,5572
2025-11-02,AnalyticsService,5921
2025-11-03,AnalyticsService,5565
2025-11-04,AnalyticsService,5749
2025-11-05,AnalyticsService,5778
2025-11-06,AnalyticsService,5453
2025-11-07,AnalyticsService,5486
2025-11-08,AnalyticsService,5396
2025-11-09,AnalyticsService,5840
2025-11-10,AnalyticsService,5357
2025-09-12,DatabaseCluster,8751
2025-09-13,DatabaseCluster,8563
2025-09-14,DatabaseCluster,8915
2025-09-15,DatabaseCluster,8509
2025-09-16,DatabaseCluster,8851
2025-09-17,DatabaseCluster,9047
2025-09-18,DatabaseCluster,8923
2025-09-19,DatabaseCluster,8648
2025-09-20,DatabaseCluster,8567
2025-09-21,DatabaseCluster,8991
2025-09-22,DatabaseCluster,8552
2025-09-23,DatabaseCluster,15751
2025-09-24,DatabaseCluster,8908
2025-09-25,DatabaseCluster,8502
2025-09-26,DatabaseCluster,8796
2025-09-27,DatabaseCluster,9026
2025-09-28,DatabaseCluster,8814
2025-09-29,DatabaseCluster,8802
2025-09-30,DatabaseCluster,2588
2025-10-01,DatabaseCluster,9025
2025-10-02,DatabaseCluster,9038
2025-10-03,DatabaseCluster,8898
2025-10-04,DatabaseCluster,8933
2025-10-05,DatabaseCluster,8676
2025-10-06,DatabaseCluster,2691
2025-10-07,DatabaseCluster,8925
2025-10-08,DatabaseCluster,8973
2025-10-09,DatabaseCluster,8534
2025-10-10,DatabaseCluster,9078
2025-10-11,DatabaseCluster,15800
2025-10-12,DatabaseCluster,8981
2025-10-13,DatabaseCluster,8802
2025-10-14,DatabaseCluster,8757
2025-10-15,DatabaseCluster,8804
2025-10-16,DatabaseCluster,2573
2025-10-17,DatabaseCluster,8509
2025-10-18,DatabaseCluster,8626
2025-10-19,DatabaseCluster,8952
2025-10-20,DatabaseCluster,8581
2025-10-21,DatabaseCluster,8640
2025-10-22,DatabaseCluster,8755
2025-10-23,DatabaseCluster,9059
2025-10-24,DatabaseCluster,8531
2025-10-25,DatabaseCluster,8981
2025-10-26,DatabaseCluster,8920
2025-10-27,DatabaseCluster,8769
2025-10-28,DatabaseCluster,15316
2025-10-29,DatabaseCluster,15404
2025-10-30,DatabaseCluster,9033
2025-10-31,DatabaseCluster,8791
2025-11-01,DatabaseCluster,8810
2025-11-02,DatabaseCluster,8580
2025-11-03,DatabaseCluster,2646
2025-11-04,DatabaseCluster,8727
2025-11-05,DatabaseCluster,8604
2025-11-06,DatabaseCluster,8937
2025-11-07,DatabaseCluster,8891
2025-11-08,DatabaseCluster,8729
2025-11-09,DatabaseCluster,8995
2025-11-10,DatabaseCluster,8933
2025-09-12,FrontendApp,4046
2025-09-13,FrontendApp,4047
2025-09-14,FrontendApp,4218
2025-09-15,FrontendApp,4014
2025-09-16,FrontendApp,1314
2025-09-17,FrontendApp,4559
2025-09-18,FrontendApp,4066
2025-09-19,FrontendApp,4185
2025-09-20,FrontendApp,4161
2025-09-21,FrontendApp,4420
2025-09-22,FrontendApp,4262
2025-09-23,FrontendApp,4185
2025-09-24,FrontendApp,7524
2025-09-25,FrontendApp,4351
2025-09-26,FrontendApp,4499
2025-09-27,FrontendApp,3987
2025-09-28,FrontendApp,4051
2025-09-29,FrontendApp,4161
2025-09-30,FrontendApp,7687
2025-10-01,FrontendApp,4457
2025-10-02,FrontendApp,4249
2025-10-03,FrontendApp,4421
2025-10-04,FrontendApp,4400
2025-10-05,FrontendApp,4013
2025-10-06,FrontendApp,4450
2025-10-07,FrontendApp,4469
2025-10-08,FrontendApp,4058
2025-10-09,FrontendApp,4034
2025-10-10,FrontendApp,4458
2025-10-11,FrontendApp,4361
2025-10-12,FrontendApp,4572
2025-10-13,FrontendApp,4166
2025-10-14,FrontendApp,3980
2025-10-15,FrontendApp,4229
2025-10-16,FrontendApp,4390
2025-10-17,FrontendApp,1322
2025-10-18,FrontendApp,4569
2025-10-19,FrontendApp,4252
2025-10-20,FrontendApp,4319
2025-10-21,FrontendApp,4533
2025-10-22,FrontendApp,4547
2025-10-23,FrontendApp,4486
2025-10-24,FrontendApp,4569
2025-10-25,FrontendApp,4577
2025-10-26,FrontendApp,4402
2025-10-27,FrontendApp,1345
2025-10-28,FrontendApp,4055
2025-10-29,FrontendApp,4516
2025-10-30,FrontendApp,8082
2025-10-31,FrontendApp,4477
2025-11-01,FrontendApp,4112
2025-11-02,FrontendApp,4189
2025-11-03,FrontendApp,4267
2025-11-04,FrontendApp,4172
2025-11-05,FrontendApp,4373
2025-11-06,FrontendApp,8002
2025-11-07,FrontendApp,4536
2025-11-08,FrontendApp,4353
2025-11-09,FrontendApp,4449
2025-11-10,FrontendApp,4012
2025-09-12,PaymentGateway,5999
2025-09-13,PaymentGateway,5561
2025-09-14,PaymentGateway,5770
2025-09-15,PaymentGateway,5880
2025-09-16,PaymentGateway,5662
2025-09-17,PaymentGateway,10630
2025-09-18,PaymentGateway,5893
2025-09-19,PaymentGateway,5690
2025-09-20,PaymentGateway,5896
2025-09-21,PaymentGateway,5725
2025-09-22,PaymentGateway,6145
2025-09-23,PaymentGateway,5895
2025-09-24,PaymentGateway,5609
2025-09-25,PaymentGateway,5816
2025-09-26,PaymentGateway,5984
2025-09-27,PaymentGateway,6070
2025-09-28,PaymentGateway,6093
2025-09-29,PaymentGateway,5599
2025-09-30,PaymentGateway,5858
2025-10-01,PaymentGateway,5915
