Date,AppName,Cost
2025-09-12,AuthAPI,3374
2025-09-13,AuthAPI,3482
2025-09-14,AuthAPI,3575
2025-09-15,AuthAPI,3771
2025-09-16,AuthAPI,3744
2025-09-17,AuthAPI,3858
2025-09-18,AuthAPI,4051
2025-09-19,AuthAPI,4121
2025-09-20,AuthAPI,4255
2025-09-21,AuthAPI,4492
2025-09-22,AuthAPI,4484
2025-09-23,AuthAPI,4686
2025-09-24,AuthAPI,4846
2025-09-25,AuthAPI,4992
2025-09-26,AuthAPI,5174
2025-09-27,AuthAPI,5345
2025-09-28,AuthAPI,5513
2025-09-29,AuthAPI,5524
2025-09-30,AuthAPI,5793
2025-10-01,AuthAPI,6049
2025-10-02,AuthAPI,6138
2025-10-03,AuthAPI,6288
2025-10-04,AuthAPI,6560
2025-10-05,AuthAPI,6729
2025-10-06,AuthAPI,6882
2025-10-07,AuthAPI,7127
2025-10-08,AuthAPI,7277
2025-10-09,AuthAPI,7549
2025-10-10,AuthAPI,7741
2025-10-11,AuthAPI,7993
2025-10-12,AuthAPI,8336
2025-10-13,AuthAPI,8415
2025-10-14,AuthAPI,8666
2025-10-15,AuthAPI,9061
2025-10-16,AuthAPI,9307
2025-10-17,AuthAPI,9591
2025-10-18,AuthAPI,9928
2025-10-19,AuthAPI,10207
2025-10-20,AuthAPI,10509
2025-10-21,AuthAPI,10757
2025-10-22,AuthAPI,11011
2025-10-23,AuthAPI,11344
2025-10-24,AuthAPI,11649
2025-10-25,AuthAPI,12137
2025-10-26,AuthAPI,12416
2025-10-27,AuthAPI,12865
2025-10-28,AuthAPI,13286
2025-10-29,AuthAPI,13617
2025-10-30,AuthAPI,14026
2025-10-31,AuthAPI,14532
2025-11-01,AuthAPI,14803
2025-11-02,AuthAPI,15254
2025-11-03,AuthAPI,15750
2025-11-04,AuthAPI,16305
2025-11-05,AuthAPI,16653
2025-11-06,AuthAPI,17197
2025-11-07,AuthAPI,17818
2025-11-08,AuthAPI,18351
2025-11-09,AuthAPI,18849
2025-11-10,AuthAPI,19442
2025-09-12,AnalyticsService,3143
2025-09-13,AnalyticsService,3170
2025-09-14,AnalyticsService,3188
2025-09-15,AnalyticsService,3364
2025-09-16,AnalyticsService,3474
2025-09-17,AnalyticsService,3475
2025-09-18,AnalyticsService,3578
2025-09-19,AnalyticsService,3822
2025-09-20,AnalyticsService,3880
2025-09-21,AnalyticsService,3913
2025-09-22,AnalyticsService,4128
2025-09-23,AnalyticsService,4309
2025-09-24,AnalyticsService,4314
2025-09-25,AnalyticsService,4502
2025-09-26,AnalyticsService,4552
2025-09-27,AnalyticsService,4718
2025-09-28,AnalyticsService,4988
2025-09-29,AnalyticsService,4991
2025-09-30,AnalyticsService,5196
2025-10-01,AnalyticsService,5254
2025-10-02,AnalyticsService,5558
2025-10-03,AnalyticsService,5611
2025-10-04,AnalyticsService,5877
2025-10-05,AnalyticsService,6039
2025-10-06,AnalyticsService,6229
2025-10-07,AnalyticsService,6424
2025-10-08,AnalyticsService,6653
2025-10-09,AnalyticsService,6788
2025-10-10,AnalyticsService,7047
2025-10-11,AnalyticsService,7242
2025-10-12,AnalyticsService,7351
2025-10-13,AnalyticsService,7707
2025-10-14,AnalyticsService,7864
2025-10-15,AnalyticsService,8070
2025-10-16,AnalyticsService,8302
2025-10-17,AnalyticsService,8587
2025-10-18,AnalyticsService,8804
2025-10-19,AnalyticsService,9018
2025-10-20,AnalyticsService,9423
2025-10-21,AnalyticsService,9740
2025-10-22,AnalyticsService,9940
2025-10-23,AnalyticsService,10201
2025-10-24,AnalyticsService,10528
2025-10-25,AnalyticsService,10962
2025-10-26,AnalyticsService,11122
2025-10-27,AnalyticsService,11450
2025-10-28,AnalyticsService,11861
2025-10-29,AnalyticsService,12166
2025-10-30,AnalyticsService,12591
2025-10-31,AnalyticsService,13006
2025-11-01,AnalyticsService,13282
2025-11-02,AnalyticsService,13780
2025-11-03,AnalyticsService,14197
2025-11-04,AnalyticsService,14583
2025-11-05,AnalyticsService,15017
2025-11-06,AnalyticsService,15482
2025-11-07,AnalyticsService,15958
2025-11-08,AnalyticsService,16420
2025-11-09,AnalyticsService,16848
2025-11-10,AnalyticsService,17509
2025-09-12,DatabaseCluster,3567
2025-09-13,DatabaseCluster,3818
2025-09-14,DatabaseCluster,3764
2025-09-15,DatabaseCluster,3892
2025-09-16,DatabaseCluster,4117
2025-09-17,DatabaseCluster,4144
2025-09-18,DatabaseCluster,4399
2025-09-19,DatabaseCluster,4471
2025-09-20,DatabaseCluster,4607
2025-09-21,DatabaseCluster,4714
