Date,AppName,Cost
2025-08-13,AuthAPI,4085
2025-08-14,AuthAPI,4609
2025-08-15,AuthAPI,4829
2025-08-16,AuthAPI,4785
2025-08-17,AuthAPI,5062
2025-08-18,AuthAPI,4905
2025-08-19,AuthAPI,4428
2025-08-20,AuthAPI,4294
2025-08-21,AuthAPI,3797
2025-08-22,AuthAPI,3499
2025-08-23,AuthAPI,3184
2025-08-24,AuthAPI,3311
2025-08-25,AuthAPI,3403
2025-08-26,AuthAPI,3595
2025-08-27,AuthAPI,4209
2025-08-28,AuthAPI,4344
2025-08-29,AuthAPI,4646
2025-08-30,AuthAPI,4872
2025-08-31,AuthAPI,4899
2025-09-01,AuthAPI,4900
2025-09-02,AuthAPI,4370
2025-09-03,AuthAPI,3933
2025-09-04,AuthAPI,3936
2025-09-05,AuthAPI,3322
2025-09-06,AuthAPI,3247
2025-09-07,AuthAPI,3179
2025-09-08,AuthAPI,3542
2025-09-09,AuthAPI,3686
2025-09-10,AuthAPI,4014
2025-09-11,AuthAPI,4363
2025-09-12,AuthAPI,4829
2025-09-13,AuthAPI,4849
2025-09-14,AuthAPI,4880
2025-09-15,AuthAPI,4569
2025-09-16,AuthAPI,4584
2025-09-17,AuthAPI,4001
2025-09-18,AuthAPI,3698
2025-09-19,AuthAPI,3540
2025-09-20,AuthAPI,3154
2025-09-21,AuthAPI,3441
2025-09-22,AuthAPI,3397
2025-09-23,AuthAPI,3870
2025-09-24,AuthAPI,4004
2025-09-25,AuthAPI,4515
2025-09-26,AuthAPI,4610
2025-09-27,AuthAPI,4893
2025-09-28,AuthAPI,4928
2025-09-29,AuthAPI,4794
2025-09-30,AuthAPI,4635
2025-10-01,AuthAPI,3998
2025-10-02,AuthAPI,3838
2025-10-03,AuthAPI,3528
2025-10-04,AuthAPI,3263
2025-10-05,AuthAPI,3493
2025-10-06,AuthAPI,3544
2025-10-07,AuthAPI,3745
2025-10-08,AuthAPI,4120
2025-10-09,AuthAPI,4602
2025-10-10,AuthAPI,4843
2025-10-11,AuthAPI,4903
2025-10-12,AuthAPI,4870
2025-10-13,AuthAPI,4800
2025-10-14,AuthAPI,4491
2025-10-15,AuthAPI,4186
2025-10-16,AuthAPI,3726
2025-10-17,AuthAPI,3633
2025-10-18,AuthAPI,3432
2025-10-19,AuthAPI,3516
2025-10-20,AuthAPI,3653
2025-10-21,AuthAPI,3675
2025-10-22,AuthAPI,3924
2025-10-23,AuthAPI,4272
2025-10-24,AuthAPI,4897
2025-10-25,AuthAPI,4962
2025-10-26,AuthAPI,4727
2025-10-27,AuthAPI,4866
2025-10-28,AuthAPI,4623
2025-10-29,AuthAPI,4006
2025-10-30,AuthAPI,3688
2025-10-31,AuthAPI,3344
2025-11-01,AuthAPI,3366
2025-11-02,AuthAPI,3257
2025-11-03,AuthAPI,3671
2025-11-04,AuthAPI,3639
2025-11-05,AuthAPI,4173
2025-11-06,AuthAPI,4347
2025-11-07,AuthAPI,4666
2025-11-08,AuthAPI,4858
2025-11-09,AuthAPI,4924
2025-11-10,AuthAPI,4585
2025-08-13,AnalyticsService,7230
2025-08-14,AnalyticsService,7500
2025-08-15,AnalyticsService,7987
2025-08-16,AnalyticsService,8062
2025-08-17,AnalyticsService,7943
2025-08-18,AnalyticsService,7861
2025-08-19,AnalyticsService,7578
2025-08-20,AnalyticsService,7334
2025-08-21,AnalyticsService,6876
2025-08-22,AnalyticsService,6581
2025-08-23,AnalyticsService,6287
2025-08-24,AnalyticsService,6586
2025-08-25,AnalyticsService,6765
2025-08-26,AnalyticsService,7049
2025-08-27,AnalyticsService,7140
2025-08-28,AnalyticsService,7514
2025-08-29,AnalyticsService,8044
2025-08-30,AnalyticsService,8072
2025-08-31,AnalyticsService,7871
2025-09-01,AnalyticsService,8034
2025-09-02,AnalyticsService,7495
2025-09-03,AnalyticsService,7415
2025-09-04,AnalyticsService,6681
2025-09-05,AnalyticsService,6563
2025-09-06,AnalyticsService,6425
2025-09-07,AnalyticsService,6606
2025-09-08,AnalyticsService,6636
2025-09-09,AnalyticsService,6681
2025-09-10,AnalyticsService,7181
2025-09-11,AnalyticsService,7638
2025-09-12,AnalyticsService,7726
2025-09-13,AnalyticsService,7836
2025-09-14,AnalyticsService,7850
2025-09-15,AnalyticsService,7916
2025-09-16,AnalyticsService,7474
2025-09-17,AnalyticsService,7132
2025-09-18,AnalyticsService,7033
2025-09-19,AnalyticsService,6426
2025-09-20,AnalyticsService,6390
2025-09-21,AnalyticsService,6521
2025-09-22,AnalyticsService,6629
2025-09-23,AnalyticsService,6710
2025-09-24,AnalyticsService,7234
2025-09-25,AnalyticsService,7741
2025-09-26,AnalyticsService,7907
2025-09-27,AnalyticsService,8094
2025-09-28,AnalyticsService,7960
2025-09-29,AnalyticsService,7653
2025-09-30,AnalyticsService,7552
2025-10-01,AnalyticsService,7193
2025-10-02,AnalyticsService,7017
2025-10-03,AnalyticsService,6689
2025-10-04,AnalyticsService,6640
2025-10-05,AnalyticsService,6587
2025-10-06,AnalyticsService,6682
2025-10-07,AnalyticsService,6778
2025-10-08,AnalyticsService,7075
2025-10-09,AnalyticsService,7681
2025-10-10,AnalyticsService,7716
2025-10-11,AnalyticsService,8193
2025-10-12,AnalyticsService,8159
2025-10-13,AnalyticsService,7996
2025-10-14,AnalyticsService,7526
2025-10-15,AnalyticsService,7279
2025-10-16,AnalyticsService,7024
2025-10-17,AnalyticsService,6580
2025-10-18,AnalyticsService,6591
2025-10-19,AnalyticsService,6637
2025-10-20,AnalyticsService,6569
2025-10-21,AnalyticsService,7027
2025-10-22,AnalyticsService,7107
2025-10-23,AnalyticsService,7590
2025-10-24,AnalyticsService,7819
2025-10-25,AnalyticsService,7934
2025-10-26,AnalyticsService,8173
2025-10-27,AnalyticsService,8001
2025-10-28,AnalyticsService,7650
2025-10-29,AnalyticsService,7381
2025-10-30,AnalyticsService,6943
2025-10-31,AnalyticsService,6416
2025-11-01,AnalyticsService,6584
2025-11-02,AnalyticsService,6440
2025-11-03,AnalyticsService,6650
2025-11-04,AnalyticsService,6992
2025-11-05,AnalyticsService,7418
2025-11-06,AnalyticsService,7723
2025-11-07,AnalyticsService,7860
2025-11-08,AnalyticsService,7916
2025-11-09,AnalyticsService,7826
2025-11-10,AnalyticsService,7848
2025-08-13,DatabaseCluster,6993
2025-08-14,DatabaseCluster,7221
2025-08-15,DatabaseCluster,7617
2025-08-16,DatabaseCluster,7902
2025-08-17,DatabaseCluster,7606
2025-08-18,DatabaseCluster,7384
2025-08-19,DatabaseCluster,7199
2025-08-20,DatabaseCluster,6798
2025-08-21,DatabaseCluster,6623
2025-08-22,DatabaseCluster,6122
2025-08-23,DatabaseCluster,6036
2025-08-24,DatabaseCluster,6129
2025-08-25,DatabaseCluster,6342
2025-08-26,DatabaseCluster,6710
2025-08-27,DatabaseCluster,6906
2025-08-28,DatabaseCluster,7413
2025-08-29,DatabaseCluster,7613
2025-08-30,DatabaseCluster,7683
2025-08-31,DatabaseCluster,7850
2025-09-01,DatabaseCluster,7543
2025-09-02,DatabaseCluster,7464
2025-09-03,DatabaseCluster,6997
2025-09-04,DatabaseCluster,6397
2025-09-05,DatabaseCluster,6381
2025-09-06,DatabaseCluster,6329
2025-09-07,DatabaseCluster,6044
2025-09-08,DatabaseCluster,6350
2025-09-09,DatabaseCluster,6600
2025-09-10,DatabaseCluster,6955
2025-09-11,DatabaseCluster,7400
2025-09-12,DatabaseCluster,7614
2025-09-13,DatabaseCluster,7795
2025-09-14,DatabaseCluster,7766
2025-09-15,DatabaseCluster,7749
2025-09-16,DatabaseCluster,7292
2025-09-17,DatabaseCluster,6873
2025-09-18,DatabaseCluster,6469
2025-09-19,DatabaseCluster,6238
2025-09-20,DatabaseCluster,6167
2025-09-21,DatabaseCluster,6022
2025-09-22,DatabaseCluster,6352
2025-09-23,DatabaseCluster,6389
2025-09-24,DatabaseCluster,7125
2025-09-25,DatabaseCluster,7195
2025-09-26,DatabaseCluster,7469
2025-09-27,DatabaseCluster,7734
2025-09-28,DatabaseCluster,7765
2025-09-29,DatabaseCluster,7599
2025-09-30,DatabaseCluster,7181
2025-10-01,DatabaseCluster,6981
2025-10-02,DatabaseCluster,6627
2025-10-03,DatabaseCluster,6415
2025-10-04,DatabaseCluster,6022
2025-10-05,DatabaseCluster,5990
2025-10-06,DatabaseCluster,6236
2025-10-07,DatabaseCluster,6572
2025-10-08,DatabaseCluster,6928
2025-10-09,DatabaseCluster,7258
2025-10-10,DatabaseCluster,7452
2025-10-11,DatabaseCluster,7880
2025-10-12,DatabaseCluster,7587
2025-10-13,DatabaseCluster,7388
2025-10-14,DatabaseCluster,7301
2025-10-15,DatabaseCluster,6806
2025-10-16,DatabaseCluster,6561
2025-10-17,DatabaseCluster,6409
2025-10-18,DatabaseCluster,6012
2025-10-19,DatabaseCluster,6192
2025-10-20,DatabaseCluster,6210
2025-10-21,DatabaseCluster,6386
2025-10-22,DatabaseCluster,6994
2025-10-23,DatabaseCluster,7473
2025-10-24,DatabaseCluster,7561
2025-10-25,DatabaseCluster,7667
2025-10-26,DatabaseCluster,7714
2025-10-27,DatabaseCluster,7575
2025-10-28,DatabaseCluster,7226
2025-10-29,DatabaseCluster,7088
2025-10-30,DatabaseCluster,6420
2025-10-31,DatabaseCluster,6455
2025-11-01,DatabaseCluster,5966
2025-11-02,DatabaseCluster,6079
2025-11-03,DatabaseCluster,6353
2025-11-04,DatabaseCluster,6458
2025-11-05,DatabaseCluster,6966
2025-11-06,DatabaseCluster,7253
2025-11-07,DatabaseCluster,7679
2025-11-08,DatabaseCluster,7843
2025-11-09,DatabaseCluster,7636
2025-11-10,DatabaseCluster,7410
2025-08-13,FrontendApp,6825
2025-08-14,FrontendApp,7375
2025-08-15,FrontendApp,7640
2025-08-16,FrontendApp,7715
2025-08-17,FrontendApp,7614
2025-08-18,FrontendApp,7430
2025-08-19,FrontendApp,7253
2025-08-20,FrontendApp,7087
2025-08-21,FrontendApp,6746
2025-08-22,FrontendApp,6137
2025-08-23,FrontendApp,6222
2025-08-24,FrontendApp,6205
2025-08-25,FrontendApp,6433
2025-08-26,FrontendApp,6532
2025-08-27,FrontendApp,7072
2025-08-28,FrontendApp,7312
2025-08-29,FrontendApp,7705
2025-08-30,FrontendApp,7821
2025-08-31,FrontendApp,7741
2025-09-01,FrontendApp,7390
2025-09-02,FrontendApp,7113
2025-09-03,FrontendApp,7054
2025-09-04,FrontendApp,6426
2025-09-05,FrontendApp,6283
2025-09-06,FrontendApp,6190
2025-09-07,FrontendApp,5988
2025-09-08,FrontendApp,6418
2025-09-09,FrontendApp,6451
2025-09-10,FrontendApp,7098
2025-09-11,FrontendApp,7360
2025-09-12,FrontendApp,7384
2025-09-13,FrontendApp,7525
2025-09-14,FrontendApp,7857
2025-09-15,FrontendApp,7498
2025-09-16,FrontendApp,7405
2025-09-17,FrontendApp,7128
2025-09-18,FrontendApp,6575
2025-09-19,FrontendApp,6285
2025-09-20,FrontendApp,6082
2025-09-21,FrontendApp,6327
2025-09-22,FrontendApp,6435
2025-09-23,FrontendApp,6592
2025-09-24,FrontendApp,6744
2025-09-25,FrontendApp,7206
2025-09-26,FrontendApp,7715
2025-09-27,FrontendApp,7798
2025-09-28,FrontendApp,7560
